Nazwa aplikacji;Nazwa firmy;Koszty;Kraj;Wersje aplikacji;Data;ImiÍ;P≥ÍÊ;Przedrostek;Stanowisko
Matsoft;Yombu;$7573.56;China;0.24;12.02.2016;Rolando;Male;III;Structural Engineer
Fixflex;Midel;$8903.51;China;0.59;7/14/2018;Reggy;Male;Sr;Quality Control Specialist
Konklux;Blogspan;$6938.18;China;03.kwi;2/17/2016;Lucina;Female;III;Social Worker
Prodder;Kare;$6052.68;Norway;0.3.5;11/23/2019;Reinhard;Male;III;Pharmacist
Sonair;Buzzshare;$8820.09;China;0.7.5;10/16/2015;Aldo;Male;II;Financial Analyst
Sonair;Brainlounge;$8370.37;Russia;0.6.4;7/26/2020;Adriana;Female;IV;Accountant III
Y-Solowarm;Topicstorm;$9138.15;Japan;0.72;09.06.2021;Celinda;Female;Jr;Business Systems Development Analyst
Kanlam;Jabbersphere;$9707.28;Philippines;0.4.8;12.10.2015;Dorothea;Female;Jr;Dental Hygienist
Subin;Wordtune;$8338.28;Ecuador;0.88;1/30/2016;Melly;Female;II;General Manager
Alphazap;Yabox;$7318.99;Poland;04.02.2002;04.07.2017;Edwina;Female;Jr;VP Marketing
Redhold;Pixonyx;$6855.67;Russia;maj.20;3/20/2018;Legra;Female;IV;Cost Accountant
Redhold;Trilia;$9789.73;Ivory Coast;09.03.2009;01.07.2022;Channa;Female;Sr;Software Engineer II
Tin;Bluejam;$9895.23;Philippines;08.01.2000;10/28/2021;Ulrich;Male;III;Nurse
Voyatouch;Roomm;$6758.04;Greece;03.09.2004;11/20/2021;Gannon;Male;IV;Sales Representative
Matsoft;Skyba;$6959.10;Cuba;0.3.2;02.11.2015;Arv;Male;III;Quality Engineer
Overhold;Kwilith;$6902.70;Thailand;wrz.82;5/24/2017;Isaak;Male;IV;Occupational Therapist
Zoolab;Zoonoodle;$6587.52;Argentina;0.31;10.05.2019;Marsiella;Female;Sr;Paralegal
Job;Lajo;$8290.72;Peru;2.0;1/24/2019;Tonia;Female;Sr;Health Coach IV
Stronghold;Zoomzone;$7596.72;Canada;0.6.2;3/21/2020;Imogene;Female;III;Account Executive
Sub-Ex;Wordpedia;$8675.07;France;01.01.2000;07.08.2017;Phillida;Female;Sr;Legal Assistant
Redhold;Skyba;$8786.99;Indonesia;08.kwi;9/19/2015;Sam;Male;IV;Graphic Designer
It;Voonyx;$6581.21;China;maj.72;08.12.2018;Ephrayim;Male;Jr;Analog Circuit Design manager
Fintone;Flipbug;$9479.72;Peru;mar.70;3/17/2016;Aidan;Female;Sr;Associate Professor
Rank;Pixope;$8612.67;Indonesia;0.40;12.06.2015;Stafford;Male;IV;Analog Circuit Design manager
Toughjoyfax;Jabbertype;$7437.21;China;0.8.6;12/22/2014;Giovanni;Male;III;Sales Representative
Cardify;Kwilith;$8121.32;China;09.04.2003;4/27/2017;Wait;Male;II;Recruiting Manager
Y-Solowarm;Shuffletag;$8189.10;China;0.22;6/27/2020;Amalita;Female;IV;Geological Engineer
Holdlamis;Jamia;$8635.67;Indonesia;06.01.2007;4/25/2021;Lita;Female;II;Assistant Manager
Tresom;Buzzbean;$8771.32;Venezuela;0.6.2;11/27/2015;Samson;Male;IV;Engineer IV
Sub-Ex;Realfire;$7171.23;Thailand;0.9.5;11.06.2020;Robb;Male;Sr;Product Engineer
Tampflex;Tazzy;$8317.30;Peru;07.lip;10/28/2016;Montgomery;Male;IV;Analog Circuit Design manager
Fintone;Fivechat;$8916.50;Philippines;05.07.2002;1/15/2020;Forster;Male;Sr;Account Coordinator
Toughjoyfax;Eamia;$6274.47;Mongolia;0.52;07.08.2017;Ingram;Male;II;General Manager
Otcom;Realcube;$9006.10;China;maj.28;11.06.2015;Marigold;Female;Sr;Recruiting Manager
Pannier;Twinder;$6212.27;China;04.04.2002;2/20/2016;Otto;Male;IV;Structural Engineer
Namfix;Skyba;$7632.25;Mexico;07.09.2009;05.02.2021;Justis;Male;II;Compensation Analyst
Keylex;Ntags;$7766.24;Indonesia;0.4.2;2/25/2017;Chandal;Female;Jr;Accountant IV
Flowdesk;Voonder;$8673.18;Thailand;0.67;10/19/2022;Misha;Female;Jr;Engineer I
Alpha;Pixonyx;$8232.67;China;0.24;02.01.2021;Braden;Male;IV;Sales Representative
Bamity;Yombu;$8264.43;Indonesia;1.0.6;8/19/2021;Seline;Female;Jr;General Manager
Sonsing;Kwinu;$8813.40;Greece;05.08.2006;10/22/2021;Gregg;Male;Sr;Chemical Engineer
Alphazap;Photojam;$7463.50;Russia;01.09.2009;03.06.2017;Anthea;Female;III;General Manager
Trippledex;Oyondu;$9228.24;Ecuador;07.lip;9/20/2015;Gaspar;Male;IV;Analyst Programmer
Bytecard;Leexo;$6836.61;Cameroon;lip.86;2/23/2022;Lucy;Female;II;Analog Circuit Design manager
Tampflex;Feednation;$8273.24;China;09.sty;08.12.2021;Maribel;Female;III;Chief Design Engineer
Holdlamis;Centizu;$9954.40;Nigeria;07.03.2002;06.12.2019;Shirley;Female;II;Geologist I
Tempsoft;Quatz;$7223.85;Libya;03.wrz;07.07.2015;Allis;Female;II;Junior Executive
Bamity;Flashset;$8766.29;Luxembourg;0.7.3;5/24/2015;Waly;Female;Jr;Desktop Support Technician
Otcom;Realbridge;$9900.17;Brazil;0.2.7;03.05.2022;Bradley;Male;II;Senior Quality Engineer
Y-Solowarm;Aivee;$6499.62;Ireland;0.37;8/22/2020;Nelly;Female;Jr;Payment Adjustment Coordinator
Voyatouch;Jabbersphere;$8969.99;Indonesia;0.1.4;10/26/2015;Yard;Male;Jr;Accountant III
Regrant;Gabvine;$6571.38;Russia;0.8.1;5/19/2017;Sarge;Male;Jr;Database Administrator II
Subin;Dynava;$8733.88;France;02.kwi;12/17/2018;Audry;Female;III;Developer IV
Konklab;Feedfire;$6091.72;Czech Republic;0.25;08.08.2015;Bella;Female;Jr;Office Assistant III
Lotlux;Mita;$7824.79;Czech Republic;09.07.2004;2/28/2019;Janene;Female;Sr;Physical Therapy Assistant
Zontrax;Kimia;$8135.99;Philippines;0.55;8/31/2022;Meryl;Female;II;Help Desk Operator
Transcof;Thoughtstorm;$6949.80;Poland;kwi.31;10.04.2022;Fergus;Male;Sr;Systems Administrator III
Ronstring;Cogilith;$9447.61;Japan;0.5.8;1/14/2018;Stanleigh;Male;III;Operator
Bamity;Meembee;$6190.52;China;lip.38;12/22/2016;Angus;Male;Sr;Geological Engineer
Subin;Pixonyx;$7315.85;Sweden;kwi.36;3/15/2018;Mariann;Female;III;Geologist II
Andalax;Fanoodle;$8478.18;Philippines;0.6.7;11/20/2015;Hildegaard;Female;IV;Software Test Engineer I
Wrapsafe;Wordpedia;$6738.07;Philippines;0.55;04.01.2019;Perle;Female;Jr;Desktop Support Technician
Job;Feedfish;$6801.90;Bulgaria;09.05.2006;10.04.2021;Rafaelia;Female;II;Civil Engineer
Subin;Riffwire;$9150.71;United States;06.sie;12/17/2015;Nerti;Female;Sr;Accounting Assistant III
Sub-Ex;Fiveclub;$6779.99;Sierra Leone;05.02.2008;7/14/2016;Janette;Female;II;Help Desk Operator
Flowdesk;Flashdog;$6570.77;Brazil;0.4.4;07.01.2022;Niel;Male;Jr;Administrative Officer
Home Ing;Lazzy;$7119.34;China;0.5.7;11.01.2020;Gerti;Female;Jr;Tax Accountant
Trippledex;Twimbo;$6950.28;China;0.68;7/19/2022;Lyn;Female;II;Senior Financial Analyst
Opela;Tagtune;$8711.69;Portugal;02.wrz;03.03.2018;Waldemar;Male;Jr;Office Assistant II
Trippledex;Flashset;$8990.66;Philippines;0.10;11.09.2016;Robinia;Female;IV;Research Nurse
Hatity;Demimbu;$9814.37;France;05.cze;01.08.2019;Rees;Male;IV;Senior Financial Analyst
Treeflex;Eabox;$7829.65;Iran;07.lut;10/24/2019;Elvira;Female;III;Assistant Professor
Regrant;Kanoodle;$7230.28;Czech Republic;08.lis;1/22/2018;Augy;Male;Jr;Help Desk Operator
Zathin;Tazzy;$9033.49;Luxembourg;cze.89;6/24/2015;Marina;Female;Sr;Librarian
Andalax;Avavee;$8297.60;China;03.04.2004;9/23/2020;Mandel;Male;IV;Environmental Tech
Holdlamis;Topicblab;$8251.82;China;06.cze;6/28/2022;Charlene;Female;Jr;Technical Writer
Voyatouch;Realmix;$7435.67;Philippines;09.09.2001;12/26/2019;Noel;Female;Jr;Nurse
Job;Photojam;$8344.37;China;0.1.8;03.03.2015;Ilka;Female;Sr;Senior Quality Engineer
Andalax;Jabbertype;$8604.06;Brazil;03.wrz;8/25/2019;Maudie;Female;Jr;VP Accounting
Tampflex;Skyba;$6791.64;Thailand;08.09.2009;3/26/2022;Sybil;Female;Jr;Biostatistician III
Flowdesk;Oyoloo;$9351.96;Colombia;07.02.2009;12.05.2014;Jimmy;Male;III;Accounting Assistant I
Redhold;Skaboo;$6652.73;China;0.12;1/17/2022;Cammi;Female;Jr;Automation Specialist II
Greenlam;Skidoo;$7676.09;Nigeria;7.0;05.06.2018;Jamie;Female;II;Programmer IV
Duobam;Twitterwire;$8908.52;Philippines;sty.20;05.04.2019;De witt;Male;III;Administrative Assistant I
Holdlamis;Miboo;$9525.96;Russia;mar.21;3/18/2017;Jackson;Male;Sr;Occupational Therapist
Cookley;Centizu;$9910.94;Sweden;04.05.2007;06.04.2019;Fleming;Male;Sr;Web Designer II
Transcof;Edgeclub;$7105.40;Philippines;06.01.2004;7/18/2017;Haskell;Male;IV;Information Systems Manager
Bitchip;Eire;$7795.83;Indonesia;4.0;01.09.2021;Davidde;Male;IV;Budget/Accounting Analyst III
Ventosanzap;Youbridge;$8961.71;Russia;0.34;7/19/2021;Dyan;Female;III;Structural Engineer
Vagram;Topicshots;$8173.27;Indonesia;0.80;3/23/2016;Igor;Male;III;Teacher
Tempsoft;Blogspan;$9238.24;Indonesia;08.03.2007;8/25/2018;Chad;Female;IV;Web Developer II
Fintone;Oyoloo;$8183.44;Thailand;07.04.2007;6/14/2022;Isidoro;Male;IV;Paralegal
Tres-Zap;Mita;$8940.61;China;0.87;03.10.2022;Lion;Male;II;VP Product Management
Tempsoft;Zoovu;$7764.04;China;0.22;6/19/2018;Herschel;Male;Sr;VP Marketing
Bitwolf;Yakijo;$6425.75;Malta;05.maj;8/23/2019;Carolyn;Female;Jr;Budget/Accounting Analyst I
Tresom;Skimia;$8858.31;Poland;0.7.8;2/15/2017;Walden;Male;III;VP Product Management
Holdlamis;Yakidoo;$7406.55;China;06.sty;7/29/2022;Ramona;Female;III;Paralegal
Sonsing;Browsezoom;$8426.94;Venezuela;0.3.2;07.01.2019;Grannie;Male;Sr;Senior Editor
Zamit;Mita;$9234.31;France;mar.72;5/26/2016;Marta;Female;Sr;Project Manager
Viva;Quatz;$9629.57;China;sty.20;01.05.2018;Marianne;Female;Jr;Chief Design Engineer
Temp;Centidel;$6408.05;United States;07.05.2003;11/19/2015;Jacky;Male;Sr;Structural Engineer
Aerified;Thoughtsphere;$8213.40;Honduras;06.gru;7/20/2015;Mozes;Male;III;Registered Nurse
Prodder;Feedfish;$9546.47;Russia;sie.91;8/13/2016;Ricard;Male;IV;Civil Engineer
Prodder;Kwinu;$8897.65;China;0.4.1;11.11.2017;Donella;Female;Sr;Environmental Specialist
Prodder;Realfire;$6719.45;Colombia;0.5.2;09.03.2015;Powell;Male;III;Executive Secretary
Cardify;Leenti;$6200.33;Democratic Republic of the Congo;7.0;05.07.2018;Wayne;Male;Jr;Executive Secretary
Ronstring;Tanoodle;$9078.32;Russia;04.maj;1/31/2021;Howard;Male;IV;Programmer III
Subin;Edgepulse;$9604.04;Portugal;lut.59;2/21/2018;Mufinella;Female;Jr;Assistant Manager
Biodex;Twinte;$8583.14;Greece;07.maj;08.01.2022;Hollyanne;Female;Jr;Data Coordiator
Konklab;Avaveo;$6163.76;United States;maj.79;4/18/2015;Caye;Female;Sr;VP Sales
Biodex;Katz;$9883.73;Honduras;08.maj;03.04.2022;Normie;Male;Jr;Database Administrator III
Toughjoyfax;Mita;$8716.21;Sweden;0.2.9;02.02.2019;Marietta;Female;Sr;Clinical Specialist
Aerified;Twitterworks;$8166.67;Cameroon;01.mar;07.10.2020;Brnaba;Male;II;Help Desk Technician
Mat Lam Tam;Roomm;$6616.14;Indonesia;03.lip;04.04.2022;Rosette;Female;II;Software Test Engineer I
Tres-Zap;Skidoo;$9178.44;Japan;0.8.4;04.05.2021;Vernor;Male;IV;Administrative Assistant IV
Flexidy;Jaxnation;$8450.24;Philippines;6.0.4;9/14/2022;Thatcher;Male;IV;VP Sales
Konklux;Rhyloo;$7885.14;France;0.3.9;03.11.2017;Salem;Male;Sr;Software Test Engineer II
Home Ing;Katz;$7851.66;Slovenia;lut.47;11.05.2019;Carling;Male;Jr;Director of Sales
Veribet;Photojam;$6261.03;China;04.wrz;04.07.2019;Angil;Female;Jr;Chief Design Engineer
Wrapsafe;Linkbridge;$7426.96;China;wrz.41;11/20/2016;Mildrid;Female;III;Office Assistant III
Zoolab;Dynazzy;$7511.36;Indonesia;05.03.2008;08.07.2022;Waylan;Male;III;Structural Engineer
Stim;Yakitri;$8197.84;Malaysia;5.0.9;12/18/2016;Charla;Female;II;Actuary
Trippledex;Ntag;$9975.80;Portugal;lut.23;10/28/2020;Rasla;Female;III;Structural Analysis Engineer
Alpha;Fivespan;$7930.38;Sweden;01.lut;8/26/2016;Yard;Male;IV;Senior Cost Accountant
Aerified;Einti;$8222.40;China;0.1.5;11.06.2020;Kendall;Male;IV;Project Manager
Kanlam;Mydo;$6626.27;Democratic Republic of the Congo;0.23;1/26/2016;Armstrong;Male;II;Tax Accountant
Domainer;Jamia;$6240.40;Paraguay;02.sie;10.06.2015;Cyrill;Male;IV;Senior Sales Associate
Domainer;Shuffledrive;$9432.58;China;09.cze;04.09.2019;Mahalia;Female;III;Office Assistant II
Opela;Linkbuzz;$7933.69;Thailand;0.8.0;11/13/2015;Tracie;Male;II;Human Resources Manager
Overhold;Realfire;$6633.58;Finland;mar.33;10/16/2015;Lisette;Female;II;VP Marketing
Hatity;Quatz;$7869.65;China;0.60;12.07.2018;Clerissa;Female;Sr;Chief Design Engineer
Viva;Layo;$9750.18;China;maj.42;2/28/2019;Joeann;Female;III;Geologist I
Latlux;Edgetag;$7030.09;Kenya;0.57;03.07.2016;Hillie;Male;III;Software Consultant
Daltfresh;Chatterpoint;$6601.62;Benin;0.98;11.04.2021;Roselle;Female;IV;Geological Engineer
Konklab;Yabox;$7701.73;Greece;0.86;8/26/2019;Jacob;Male;Sr;Sales Representative
Namfix;Dynazzy;$9161.57;Indonesia;sie.55;02.09.2016;Alaric;Male;Jr;Business Systems Development Analyst
Zathin;Mydo;$9668.67;Russia;0.2.3;10/25/2017;Renae;Female;Sr;Occupational Therapist
Tres-Zap;Teklist;$6892.12;Fiji;07.02.2004;2/23/2017;Hildegaard;Female;III;Executive Secretary
Viva;Bluezoom;$6254.14;Greece;0.19;3/24/2022;Jeane;Female;II;Research Associate
Prodder;Quatz;$6944.40;China;sty.96;5/19/2022;Alfredo;Male;II;Senior Editor
Solarbreeze;Voonyx;$6528.09;Portugal;0.2.9;12/27/2016;Aridatha;Female;Jr;Structural Engineer
Overhold;Plajo;$9238.61;China;03.lut;12/18/2017;Netty;Female;Sr;Senior Cost Accountant
Stim;Flipopia;$8344.06;Thailand;0.1.8;2/16/2020;Tisha;Female;III;Graphic Designer
Y-Solowarm;Dablist;$8427.96;China;maj.47;12/14/2016;Dennie;Male;IV;Project Manager
Voltsillam;Kwideo;$6485.85;Thailand;0.6.7;5/18/2018;Wadsworth;Male;Sr;VP Quality Control
Home Ing;Topiczoom;$9948.29;Jamaica;0.28;2/13/2016;Napoleon;Male;III;Desktop Support Technician
Sonair;Tavu;$8924.89;Serbia;0.31;2/28/2021;Friedrich;Male;III;Human Resources Assistant I
Fix San;Thoughtstorm;$9375.97;Philippines;0.8.8;11/23/2015;Marlene;Female;IV;Geologist III
Holdlamis;Thoughtworks;$9937.42;Brazil;05.cze;3/13/2015;Katleen;Female;IV;Nurse Practicioner
Hatity;Eayo;$6263.54;Peru;lip.91;4/15/2015;Roxine;Female;Jr;Mechanical Systems Engineer
Transcof;Brainbox;$8588.96;China;0.89;04.05.2022;Lorette;Female;III;Administrative Assistant III
Solarbreeze;Rooxo;$6160.61;Bosnia and Herzegovina;0.81;9/24/2020;Felicle;Female;III;Civil Engineer
It;Skipstorm;$9906.01;Democratic Republic of the Congo;03.sty;06.08.2016;Katrine;Female;II;Automation Specialist II
Alphazap;Buzzster;$7019.85;Portugal;0.29;7/19/2018;Wilek;Male;III;Pharmacist
Sonair;Buzzster;$9091.04;Poland;04.lut;06.08.2015;Bordie;Male;Jr;Financial Advisor
Otcom;Twitternation;$9999.48;Ethiopia;0.29;11.03.2021;Caritta;Female;Sr;Marketing Manager
Opela;Rhycero;$7952.57;Nigeria;kwi.34;12.12.2017;Ivie;Female;Jr;Food Chemist
It;Babbleset;$7205.58;Indonesia;01.sty;1/24/2015;Brooks;Male;II;Marketing Manager
Zoolab;Oyoyo;$6618.66;Syria;sie.93;12.04.2019;Giffer;Male;II;Electrical Engineer
Subin;Bubblemix;$6482.87;Sweden;09.09.2009;8/22/2018;Selby;Male;II;Assistant Manager
Latlux;Fanoodle;$6367.59;Philippines;cze.87;05.09.2016;Ellsworth;Male;Sr;Database Administrator I
Zaam-Dox;Mita;$9016.79;China;sty.50;5/17/2017;Delmer;Male;III;Help Desk Operator
Fixflex;Ntag;$9972.52;Germany;07.sty;07.10.2022;Lennard;Male;Jr;Nurse
Asoka;Thoughtbridge;$9829.29;Russia;wrz.78;5/20/2022;Moise;Male;III;Human Resources Manager
Rank;Quimm;$8072.87;United States;0.30;5/16/2020;Bronny;Male;II;VP Quality Control
Greenlam;Thoughtstorm;$6514.01;Bulgaria;kwi.59;3/17/2019;Feliks;Male;Jr;Occupational Therapist
Lotstring;Brainlounge;$9968.55;Democratic Republic of the Congo;2.0.9;10/27/2020;Myrtle;Female;IV;GIS Technical Architect
Transcof;Blogspan;$8843.29;France;0.6.3;10.03.2019;Sibeal;Female;IV;Assistant Manager
Opela;Demizz;$7269.12;Poland;07.lut;03.10.2021;Talyah;Female;II;Structural Engineer
Vagram;Dazzlesphere;$8138.56;Comoros;sty.33;05.05.2020;Reade;Male;IV;Internal Auditor
Andalax;Voonder;$7296.50;China;05.lip;12.12.2018;Durant;Male;IV;Help Desk Technician
Ronstring;Reallinks;$8421.16;Nigeria;01.lut;03.01.2021;Hyacinthia;Female;II;Environmental Specialist
Namfix;Thoughtmix;$8917.58;China;0.67;6/29/2018;Terry;Male;Jr;Accountant IV
Zoolab;Mymm;$6399.96;Luxembourg;0.44;06.12.2019;Thibaud;Male;Jr;Account Executive
Latlux;Fivebridge;$7638.44;Philippines;03.04.2007;02.11.2021;Avictor;Male;IV;Budget/Accounting Analyst II
Daltfresh;Meembee;$8477.57;Estonia;02.mar;1/13/2016;Kelila;Female;Sr;Senior Cost Accountant
Fix San;Tagpad;$6596.00;Indonesia;06.lut;11/16/2015;Candi;Female;III;Media Manager I
Stronghold;Browsetype;$7326.55;China;06.07.2001;12/16/2014;Bethina;Female;II;Administrative Assistant I
Namfix;Feedfire;$7540.05;Micronesia;cze.76;03.12.2017;Allene;Female;IV;Financial Analyst
Stringtough;Plajo;$9887.94;Indonesia;0.35;7/28/2019;Brendin;Male;III;Teacher
Zathin;Topiclounge;$7089.70;Brazil;0.6.7;10.08.2022;Thane;Male;II;Engineer III
Bitchip;Skalith;$6175.93;Armenia;sty.73;7/20/2018;Val;Male;Sr;Statistician III
Voltsillam;Voomm;$7329.58;Thailand;lip.81;3/13/2018;Sumner;Male;IV;Chemical Engineer
Namfix;Gigaclub;$9029.29;Malaysia;0.6.1;7/26/2016;Ashia;Female;II;Administrative Officer
Trippledex;Jabbertype;$9229.94;Greece;0.6.6;12/13/2020;Inglebert;Male;Jr;Database Administrator II
Fintone;Yakitri;$7042.38;Colombia;0.8.6;07.03.2021;Jed;Male;II;Desktop Support Technician
Gembucket;Dabshots;$7929.11;Lithuania;0.4.9;11.10.2022;Cole;Male;Jr;Executive Secretary
Subin;Twimm;$6704.42;Georgia;05.04.2005;1/25/2020;Tomlin;Male;II;Nuclear Power Engineer
Hatity;Tagcat;$9632.68;Russia;03.lut;7/29/2022;Penni;Female;Sr;Pharmacist
Namfix;Blognation;$7441.58;Armenia;0.4.3;10/26/2016;Vivianna;Female;Sr;Mechanical Systems Engineer
Matsoft;Ntag;$8055.52;Indonesia;05.05.2000;10.04.2017;Fannie;Female;Jr;VP Marketing
Regrant;Katz;$8378.80;Indonesia;lut.87;11/28/2015;Bucky;Male;IV;Accounting Assistant IV
Prodder;Dynabox;$7621.43;Sweden;0.4.2;10/27/2017;Julietta;Female;II;Physical Therapy Assistant
Duobam;Rhybox;$9417.63;Thailand;09.07.2009;07.07.2020;Anders;Male;II;General Manager
It;Gigaclub;$7556.59;France;0.2.3;05.12.2016;Fanny;Female;Jr;Physical Therapy Assistant
Lotlux;Oyoba;$9186.06;New Zealand;04.lip;9/13/2022;Rooney;Male;II;Sales Representative
Hatity;Abata;$7473.80;Central African Republic;mar.96;10/27/2018;Danyette;Female;IV;Food Chemist
Y-Solowarm;Eazzy;$7208.06;Malaysia;lip.63;09.02.2017;Jason;Male;Jr;Social Worker
Solarbreeze;Browseblab;$6826.29;Greece;0.38;8/29/2022;Hadleigh;Male;IV;VP Accounting
Temp;Geba;$7827.46;Brazil;0.52;6/22/2021;Orrin;Male;IV;Mechanical Systems Engineer
Job;Wordtune;$7445.72;France;0.1.0;8/18/2021;Muffin;Male;III;Environmental Specialist
